section,desc,shortcut,important
Navigation,Back,"⌘ ←, ⌘ [",true
Navigation,Forward,"⌘ →, ⌘ ]",true
Navigation,Home,⌥ home,true
Navigation,Open File,⌘ O,false
Navigation,Reload,"F5, ⌘ R",true
Navigation,Reload (override cache),⌘ ⇧ R,false
Navigation,Stop,"esc, ⌘ .",true
Current Page,Focus Next Link or Input Field,tab,false
Current Page,Focus Previous Link or Input Field,⇧ tab,false
Current Page,Go Down a Screen,"pgdn, fn ↓, space ",true
Current Page,Go Up a Screen,"pgup, fn ↑, ⇧ space",true
Current Page,Go to Bottom of Page,"end, ⌘ ↓",true
Current Page,Go to Top of Page,"home, ⌘ ↑",true
Current Page,"Move to Next Frame, Pop-Up",F6,false
Current Page,"Move to Previous Frame, Pop-Up",⇧ F6,false
Current Page,Print,⌘ P,false
Current Page,Save Page As,⌘ S,false
Current Page,Zoom In,⌘ +,true
Current Page,Zoom Out,⌘ -,true
Current Page,Zoom Reset,⌘ 0,true
Editing,Copy,⌘ C,false
Editing,Cut,⌘ X,false
Editing,Delete,⌫,false
Editing,Go to Beginning of Line,home,false
Editing,Paste,⌘ V,false
Editing,Paste (as plain text),⌘ ⇧ V,false
Editing,Redo,⌘ ⇧ Z,false
Editing,Select All,⌘ A,false
Editing,Undo,⌘ Z,false
Search,Find in This Page,⌘ F,true
Search,Find Again,"F3, ⌘ G",false
Search,Find Previous,"⇧ F3, ⌘ ⇧ G",false
Search,Quick Find within link-only text,',false
Search,Quick Find,/,false
Search,Close the Find or Quick Find bar,esc,false
Search,Switch Search Engine,"⌥ ↓, ⌥ ↑",false
Search,Web Search with Default Search Engine,?,false
Search,Focus Address Bar for Web Search with Default Search Engine,"⌘ K, ⌘ ⌥ F",true
Search,Change the Default Search Engine,"⌘ ↓, ⌘ ↑",false
Windows & Tabs,Close Tab,⌘ W,true
Windows & Tabs,Close Window,⌘ ⇧ W,true
Windows & Tabs,Quit,⌘ Q,false
Windows & Tabs,Go One Tab to the Left,"^ pgup, ⌘ ⌥ ←, ^ ⇧ tab",true
Windows & Tabs,Go One Tab to the Right,"^ pgdn, ⌘ ⌥ →, ^ tab",true
Windows & Tabs,Go to Tab 1 to 8,⌘ 1-8,true
Windows & Tabs,Go to Last Tab,⌘ 9,true
Windows & Tabs,Move Tab Left,^ ⇧ pgup,true
Windows & Tabs,Move Tab Right,^ ⇧ pgdn,true
Windows & Tabs,Move Tab to Start,⌘ ⇧ home,false
Windows & Tabs,Move Tab to End,⌘ ⇧ end,false
